"","country","year","start","exports","schooling","growth","peace","concentration","lnpop","fractionalization","dominance"
"1","Afghanistan",1960,0,0.0740000009536743,2,NA,172,0.492000013589859,16.1196899414062,132,1
"2","Afghanistan",1965,0,0.0740000009536743,4,NA,232,0.492000013589859,16.2238101959229,132,1
"3","Afghanistan",1970,0,0.0430000014603138,13,NA,292,0.492000013589859,16.3377895355225,132,1
"4","Afghanistan",1975,1,0.0850000008940697,13,NA,352,0.492000013589859,16.4572792053223,132,1
"5","Afghanistan",1980,NA,0.239999994635582,16,NA,NA,0.492000013589859,16.5849704742432,132,1
"6","Afghanistan",1985,NA,NA,11,NA,NA,0.492000013589859,16.7106990814209,132,1
"7","Afghanistan",1990,1,0.0329999998211861,9,NA,3,0.492000013589859,16.8332500457764,132,1
"8","Afghanistan",1995,NA,NA,32,NA,NA,0.505999982357025,16.971700668335,132,1
"9","Algeria",1960,1,0.189999997615814,9,NA,4,0.916000008583069,16.1950607299805,132,1
"10","Algeria",1965,0,0.189999997615814,10,-1.682000041008,24,0.916000008583069,16.2939796447754,132,1
"11","Algeria",1970,0,0.193000003695488,16,2.84299993515015,84,0.916000008583069,16.4362602233887,132,1
"12","Algeria",1975,0,0.268999993801117,26,4.98600006103516,144,0.916000008583069,16.5892200469971,132,1
"13","Algeria",1980,0,0.368000000715256,40,3.26099991798401,204,0.916000008583069,16.7423801422119,132,1
"14","Algeria",1985,0,0.170000001788139,59,1.60199999809265,264,0.916000008583069,16.9010391235352,132,1
"15","Algeria",1990,1,0.179000005125999,67,-1.4650000333786,324,0.916000008583069,17.0347900390625,132,1
"16","Algeria",1995,NA,0.217999994754791,66,-1.52600002288818,NA,0.912999987602234,17.1515998840332,132,1
"17","Angola",1960,1,0.202000007033348,3,NA,172,0.648000001907349,15.3874502182007,4446,0
"18","Angola",1965,NA,0.202000007033348,6,2.63299989700317,NA,0.648000001907349,15.4603204727173,4446,0
"19","Angola",1970,NA,0.202000007033348,9,1.85099995136261,NA,0.648000001907349,15.5361299514771,4446,0
"20","Angola",1975,1,0.360000014305115,10,-9.32100009918213,1,0.648000001907349,15.6275596618652,4134,0
"21","Angola",1980,NA,0.48199999332428,21,-1.59399998188019,NA,0.648000001907349,15.7641296386719,3822,0
"22","Angola",1985,NA,0.479000002145767,14,1.03900003433228,NA,0.648000001907349,15.8953304290771,3822,0
"23","Angola",1990,1,0.476000010967255,12,-2.35599994659424,16,0.648000001907349,16.0378608703613,3822,0
"24","Angola",1995,NA,0.41100001335144,NA,3.58299994468689,NA,0.663999974727631,16.1924591064453,3822,0
"25","Argentina",1960,0,0.0480000004172325,23,NA,52,0.857999980449677,16.8415794372559,434,1
"26","Argentina",1965,0,0.0480000004172325,26,2.34899997711182,112,0.857999980449677,16.9193305969238,434,1
"27","Argentina",1970,0,0.0500000007450581,42,2.32599997520447,172,0.857999980449677,16.991979598999,434,1
"28","Argentina",1975,0,0.0419999994337559,5,1.4210000038147,232,0.857999980449677,17.0754909515381,465,1
"29","Argentina",1980,0,0.0799999982118607,52,1.44700002670288,292,0.857999980449677,17.1517791748047,496,1
"30","Argentina",1985,0,0.0740000009536743,66,-4.01000022888184,352,0.857999980449677,17.2268199920654,496,1
"31","Argentina",1990,0,0.061999998986721,66,-2.46799993515015,412,0.857999980449677,17.2975807189941,496,1
"32","Argentina",1995,0,0.0489999987185001,NA,3.77600002288818,472,0.853999972343445,17.3642101287842,496,1
"33","Australia",1960,0,0.104999996721745,52,NA,172,0.971000015735626,16.1452198028564,1716,1
"34","Australia",1965,0,0.104999996721745,63,2.51099991798401,232,0.971000015735626,16.2480697631836,1716,1
"35","Australia",1970,0,0.0920000001788139,84,3.96199989318848,292,0.971000015735626,16.3418006896973,1716,1
"36","Australia",1975,0,0.0939999967813492,87,1.35000002384186,352,0.971000015735626,16.4468994140625,1848,1
"37","Australia",1980,0,0.0979999974370003,70,1.68700003623962,412,0.971000015735626,16.5028095245361,2013,1
"38","Australia",1985,0,0.105999998748302,79,1.62999999523163,472,0.971000015735626,16.5728607177734,2013,1
"39","Australia",1990,0,0.0769999995827675,80,1.23099994659424,532,0.971000015735626,16.6525497436523,2013,1
"40","Australia",1995,0,0.0890000015497208,147,2.01900005340576,592,0.971000015735626,16.709379196167,2013,1
"41","Austria",1960,0,0.0419999994337559,50,NA,172,0.46399998664856,15.7682504653931,252,0
"42","Austria",1965,0,0.0419999994337559,52,3.55699992179871,232,0.46399998664856,15.7972002029419,252,0
"43","Austria",1970,0,0.0390000008046627,71,4.0149998664856,292,0.46399998664856,15.8205003738403,252,0
"44","Austria",1975,0,0.028999999165535,73,3.47699999809265,352,0.46399998664856,15.8378496170044,252,0
"45","Austria",1980,0,0.0390000008046627,103,3.24300003051758,412,0.46399998664856,15.837459564209,252,0
"46","Austria",1985,0,0.0379999987781048,103,1.14999997615814,472,0.46399998664856,15.8377199172974,252,0
"47","Austria",1990,0,0.0320000015199184,107,2.62899994850159,532,0.46399998664856,15.8600597381592,252,0
"48","Austria",1995,0,0.0270000007003546,107,0.990000009536743,592,0.46399998664856,15.9008102416992,252,0
"49","Azerbaijan",1960,NA,NA,NA,NA,NA,0.573000013828278,15.1741800308228,NA,NA
"50","Azerbaijan",1965,NA,NA,NA,NA,NA,0.573000013828278,15.3350200653076,NA,NA
"51","Azerbaijan",1970,NA,NA,NA,NA,NA,0.573000013828278,15.4587697982788,NA,NA
"52","Azerbaijan",1975,NA,NA,NA,NA,NA,0.573000013828278,15.5540399551392,NA,NA
